Binary value;Hour;Month;Day;Hour of day
0;1;1;1;1
0;2;1;1;2
0;3;1;1;3
0;4;1;1;4
0;5;1;1;5
0;6;1;1;6
0;7;1;1;7
0;8;1;1;8
0;9;1;1;9
0;10;1;1;10
0;11;1;1;11
0;12;1;1;12
0;13;1;1;13
0;14;1;1;14
0;15;1;1;15
0;16;1;1;16
0;17;1;1;17
0;18;1;1;18
0;19;1;1;19
0;20;1;1;20
0;21;1;1;21
0;22;1;1;22
0;23;1;1;23
0;24;1;1;24
0;25;1;2;1
0;26;1;2;2
0;27;1;2;3
0;28;1;2;4
0;29;1;2;5
0;30;1;2;6
0;31;1;2;7
0;32;1;2;8
0;33;1;2;9
0;34;1;2;10
0;35;1;2;11
0;36;1;2;12
0;37;1;2;13
0;38;1;2;14
0;39;1;2;15
0;40;1;2;16
0;41;1;2;17
0;42;1;2;18
0;43;1;2;19
0;44;1;2;20
0;45;1;2;21
0;46;1;2;22
0;47;1;2;23
0;48;1;2;24
0;49;1;3;1
0;50;1;3;2
0;51;1;3;3
0;52;1;3;4
0;53;1;3;5
0;54;1;3;6
0;55;1;3;7
0;56;1;3;8
0;57;1;3;9
0;58;1;3;10
0;59;1;3;11
0;60;1;3;12
0;61;1;3;13
0;62;1;3;14
0;63;1;3;15
0;64;1;3;16
0;65;1;3;17
0;66;1;3;18
0;67;1;3;19
0;68;1;3;20
0;69;1;3;21
0;70;1;3;22
0;71;1;3;23
0;72;1;3;24
0;73;1;4;1
0;74;1;4;2
0;75;1;4;3
0;76;1;4;4
0;77;1;4;5
0;78;1;4;6
0;79;1;4;7
0;80;1;4;8
0;81;1;4;9
0;82;1;4;10
0;83;1;4;11
0;84;1;4;12
0;85;1;4;13
0;86;1;4;14
0;87;1;4;15
0;88;1;4;16
0;89;1;4;17
0;90;1;4;18
0;91;1;4;19
0;92;1;4;20
0;93;1;4;21
0;94;1;4;22
0;95;1;4;23
0;96;1;4;24
0;97;1;5;1
0;98;1;5;2
0;99;1;5;3
0;100;1;5;4
0;101;1;5;5
0;102;1;5;6
0;103;1;5;7
0;104;1;5;8
0;105;1;5;9
0;106;1;5;10
0;107;1;5;11
0;108;1;5;12
0;109;1;5;13
0;110;1;5;14
0;111;1;5;15
0;112;1;5;16
0;113;1;5;17
0;114;1;5;18
0;115;1;5;19
0;116;1;5;20
0;117;1;5;21
0;118;1;5;22
0;119;1;5;23
0;120;1;5;24
0;121;1;6;1
0;122;1;6;2
0;123;1;6;3
0;124;1;6;4
0;125;1;6;5
0;126;1;6;6
0;127;1;6;7
0;128;1;6;8
0;129;1;6;9
0;130;1;6;10
0;131;1;6;11
0;132;1;6;12
0;133;1;6;13
0;134;1;6;14
0;135;1;6;15
0;136;1;6;16
0;137;1;6;17
0;138;1;6;18
0;139;1;6;19
0;140;1;6;20
0;141;1;6;21
0;142;1;6;22
0;143;1;6;23
0;144;1;6;24
0;145;1;7;1
0;146;1;7;2
0;147;1;7;3
0;148;1;7;4
0;149;1;7;5
0;150;1;7;6
0;151;1;7;7
0;152;1;7;8
0;153;1;7;9
0;154;1;7;10
0;155;1;7;11
0;156;1;7;12
0;157;1;7;13
0;158;1;7;14
0;159;1;7;15
0;160;1;7;16
0;161;1;7;17
0;162;1;7;18
0;163;1;7;19
0;164;1;7;20
0;165;1;7;21
0;166;1;7;22
0;167;1;7;23
0;168;1;7;24
0;169;1;8;1
0;170;1;8;2
0;171;1;8;3
0;172;1;8;4
0;173;1;8;5
0;174;1;8;6
0;175;1;8;7
0;176;1;8;8
0;177;1;8;9
0;178;1;8;10
0;179;1;8;11
0;180;1;8;12
0;181;1;8;13
0;182;1;8;14
0;183;1;8;15
0;184;1;8;16
0;185;1;8;17
0;186;1;8;18
0;187;1;8;19
0;188;1;8;20
0;189;1;8;21
0;190;1;8;22
0;191;1;8;23
0;192;1;8;24
0;193;1;9;1
0;194;1;9;2
0;195;1;9;3
0;196;1;9;4
0;197;1;9;5
0;198;1;9;6
0;199;1;9;7
0;200;1;9;8
0;201;1;9;9
0;202;1;9;10
0;203;1;9;11
0;204;1;9;12
0;205;1;9;13
0;206;1;9;14
0;207;1;9;15
0;208;1;9;16
0;209;1;9;17
0;210;1;9;18
0;211;1;9;19
0;212;1;9;20
0;213;1;9;21
0;214;1;9;22
0;215;1;9;23
0;216;1;9;24
0;217;1;10;1
0;218;1;10;2
0;219;1;10;3
0;220;1;10;4
0;221;1;10;5
0;222;1;10;6
0;223;1;10;7
0;224;1;10;8
0;225;1;10;9
0;226;1;10;10
0;227;1;10;11
0;228;1;10;12
0;229;1;10;13
0;230;1;10;14
0;231;1;10;15
0;232;1;10;16
0;233;1;10;17
0;234;1;10;18
0;235;1;10;19
0;236;1;10;20
0;237;1;10;21
0;238;1;10;22
0;239;1;10;23
0;240;1;10;24
0;241;1;11;1
0;242;1;11;2
0;243;1;11;3
0;244;1;11;4
0;245;1;11;5
0;246;1;11;6
0;247;1;11;7
0;248;1;11;8
0;249;1;11;9
0;250;1;11;10
0;251;1;11;11
0;252;1;11;12
0;253;1;11;13
0;254;1;11;14
0;255;1;11;15
0;256;1;11;16
0;257;1;11;17
0;258;1;11;18
0;259;1;11;19
0;260;1;11;20
0;261;1;11;21
0;262;1;11;22
0;263;1;11;23
0;264;1;11;24
0;265;1;12;1
0;266;1;12;2
0;267;1;12;3
0;268;1;12;4
0;269;1;12;5
0;270;1;12;6
0;271;1;12;7
0;272;1;12;8
0;273;1;12;9
0;274;1;12;10
0;275;1;12;11
0;276;1;12;12
0;277;1;12;13
0;278;1;12;14
0;279;1;12;15
0;280;1;12;16
0;281;1;12;17
0;282;1;12;18
0;283;1;12;19
0;284;1;12;20
0;285;1;12;21
0;286;1;12;22
0;287;1;12;23
0;288;1;12;24
0;289;1;13;1
0;290;1;13;2
0;291;1;13;3
0;292;1;13;4
0;293;1;13;5
0;294;1;13;6
0;295;1;13;7
0;296;1;13;8
0;297;1;13;9
0;298;1;13;10
0;299;1;13;11
0;300;1;13;12
0;301;1;13;13
0;302;1;13;14
0;303;1;13;15
0;304;1;13;16
0;305;1;13;17
0;306;1;13;18
0;307;1;13;19
0;308;1;13;20
0;309;1;13;21
0;310;1;13;22
0;311;1;13;23
0;312;1;13;24
0;313;1;14;1
0;314;1;14;2
0;315;1;14;3
0;316;1;14;4
0;317;1;14;5
0;318;1;14;6
0;319;1;14;7
0;320;1;14;8
0;321;1;14;9
0;322;1;14;10
0;323;1;14;11
0;324;1;14;12
0;325;1;14;13
0;326;1;14;14
0;327;1;14;15
0;328;1;14;16
0;329;1;14;17
0;330;1;14;18
0;331;1;14;19
0;332;1;14;20
0;333;1;14;21
0;334;1;14;22
0;335;1;14;23
0;336;1;14;24
0;337;1;15;1
0;338;1;15;2
0;339;1;15;3
0;340;1;15;4
0;341;1;15;5
0;342;1;15;6
0;343;1;15;7
0;344;1;15;8
0;345;1;15;9
0;346;1;15;10
0;347;1;15;11
0;348;1;15;12
0;349;1;15;13
0;350;1;15;14
0;351;1;15;15
0;352;1;15;16
0;353;1;15;17
0;354;1;15;18
0;355;1;15;19
0;356;1;15;20
0;357;1;15;21
0;358;1;15;22
0;359;1;15;23
0;360;1;15;24
0;361;1;16;1
0;362;1;16;2
0;363;1;16;3
0;364;1;16;4
0;365;1;16;5
0;366;1;16;6
0;367;1;16;7
0;368;1;16;8
0;369;1;16;9
0;370;1;16;10
0;371;1;16;11
0;372;1;16;12
0;373;1;16;13
0;374;1;16;14
0;375;1;16;15
0;376;1;16;16
0;377;1;16;17
0;378;1;16;18
0;379;1;16;19
0;380;1;16;20
0;381;1;16;21
0;382;1;16;22
0;383;1;16;23
0;384;1;16;24
0;385;1;17;1
0;386;1;17;2
0;387;1;17;3
0;388;1;17;4
0;389;1;17;5
0;390;1;17;6
0;391;1;17;7
0;392;1;17;8
0;393;1;17;9
0;394;1;17;10
0;395;1;17;11
0;396;1;17;12
0;397;1;17;13
0;398;1;17;14
0;399;1;17;15
0;400;1;17;16
0;401;1;17;17
0;402;1;17;18
0;403;1;17;19
0;404;1;17;20
0;405;1;17;21
0;406;1;17;22
0;407;1;17;23
0;408;1;17;24
0;409;1;18;1
0;410;1;18;2
0;411;1;18;3
0;412;1;18;4
0;413;1;18;5
0;414;1;18;6
0;415;1;18;7
0;416;1;18;8
0;417;1;18;9
0;418;1;18;10
0;419;1;18;11
0;420;1;18;12
0;421;1;18;13
0;422;1;18;14
0;423;1;18;15
0;424;1;18;16
0;425;1;18;17
0;426;1;18;18
0;427;1;18;19
0;428;1;18;20
0;429;1;18;21
0;430;1;18;22
0;431;1;18;23
0;432;1;18;24
0;433;1;19;1
0;434;1;19;2
0;435;1;19;3
0;436;1;19;4
0;437;1;19;5
0;438;1;19;6
0;439;1;19;7
0;440;1;19;8
0;441;1;19;9
0;442;1;19;10
0;443;1;19;11
0;444;1;19;12
0;445;1;19;13
0;446;1;19;14
0;447;1;19;15
0;448;1;19;16
0;449;1;19;17
0;450;1;19;18
0;451;1;19;19
0;452;1;19;20
0;453;1;19;21
0;454;1;19;22
0;455;1;19;23
0;456;1;19;24
0;457;1;20;1
0;458;1;20;2
0;459;1;20;3
0;460;1;20;4
0;461;1;20;5
0;462;1;20;6
0;463;1;20;7
0;464;1;20;8
0;465;1;20;9
0;466;1;20;10
0;467;1;20;11
0;468;1;20;12
0;469;1;20;13
0;470;1;20;14
0;471;1;20;15
0;472;1;20;16
0;473;1;20;17
0;474;1;20;18
0;475;1;20;19
0;476;1;20;20
0;477;1;20;21
0;478;1;20;22
0;479;1;20;23
0;480;1;20;24
0;481;1;21;1
0;482;1;21;2
0;483;1;21;3
